番号,山名,別名,山頂名,読み,都道府県,標高,所在地,地図,緯度,経度,三角点名等,備考
48,石狩岳,"","",いしかりだけ,北海道,1967,石狩山地,https://maps.gsi.go.jp/#15/43.54666666666667/143.02222222222224,43°32′48″,143°01′20″,標高点,""
49,音更山,"","",おとふけやま,北海道,1932,石狩山地,https://maps.gsi.go.jp/#15/43.56166666666666/143.03527777777776,43°33′42″,143°02′07″,音更山,""
50,ニペソツ山,"","",にぺそつやま,北海道,2013,石狩山地,https://maps.gsi.go.jp/#15/43.45583333333334/143.03222222222223,43°27′21″,143°01′56″,標高点,""
51,ウペペサンケ山,"","",うぺぺさんけやま,北海道,1848,石狩山地,https://maps.gsi.go.jp/#15/43.38944444444444/143.08194444444445,43°23′22″,143°04′55″,標高点,""
52,東ヌプカウシヌプリ,"","",ひがしぬぷかうしぬぷり,北海道,1252,石狩山地,https://maps.gsi.go.jp/#15/43.24583333333334/143.10222222222222,43°14′45″,143°06′08″,奴深牛,""
53,佐幌岳,"","",さほろだけ,北海道,1060,石狩山地,https://maps.gsi.go.jp/#15/43.17333333333333/142.78111111111113,43°10′24″,142°46′52″,佐織岳,Ｈ20三角点標高改訂
54,西クマネシリ岳,"","",にしくまねしりだけ,北海道,1635,石狩山地,https://maps.gsi.go.jp/#15/43.51916666666666/143.23333333333332,43°31′09″,143°14′00″,標高点,""
55,東三国山,"","",ひがしみくにやま,北海道,1230,石狩山地,https://maps.gsi.go.jp/#15/43.50833333333333/143.4636111111111,43°30′30″,143°27′49″,幌加美里,""
56,喜登牛山,"","",きとうしやま,北海道,1312,石狩山地,https://maps.gsi.go.jp/#15/43.44777777777777/143.45638888888888,43°26′52″,143°27′23″,鬼頭牛山,""
57,ピッシリ山,"","",ぴっしりざん,北海道,1032,天塩山地,https://maps.gsi.go.jp/#15/44.355555555555554/142.03194444444446,44°21′20″,142°01′55″,比後岳,""
58,三頭山,"","",さんとうさん,北海道,1009,天塩山地,https://maps.gsi.go.jp/#15/44.09166666666667/142.08583333333334,44°05′30″,142°05′09″,三頭山,""
59,ポロシリ山,"","",ぽろしりやま,北海道,730,天塩山地,https://maps.gsi.go.jp/#15/43.962500000000006/141.8361111111111,43°57′45″,141°50′10″,翁居岳,Ｈ20三角点標高改訂
60,暑寒別岳,"","",しょかんべつだけ,北海道,1492,増毛山地,https://maps.gsi.go.jp/#15/43.715833333333336/141.52305555555557,43°42′57″,141°31′23″,暑寒岳,Ｈ20三角点標高改訂
61,群別岳,"","",くんべつだけ,北海道,1376,増毛山地,https://maps.gsi.go.jp/#15/43.68472222222222/141.48777777777775,43°41′05″,141°29′16″,群別岳,山名（よみ）訂正
62,ピンネシリ,"","",ぴんねしり,北海道,1100,増毛山地,https://maps.gsi.go.jp/#15/43.49194444444444/141.70666666666665,43°29′31″,141°42′24″,賓根知山,""
63,イルムケップ山,"","",いるむけっぷやま,北海道,864,夕張山地,https://maps.gsi.go.jp/#15/43.62916666666667/142.11027777777778,43°37′45″,142°06′37″,三又山,Ｈ20三角点標高改訂
64,富良野西岳,"","",ふらのにしだけ,北海道,1331,夕張山地,https://maps.gsi.go.jp/#15/43.30916666666666/142.31166666666667,43°18′33″,142°18′42″,下富良野,""
65,芦別岳,"","",あしべつだけ,北海道,1726,夕張山地,https://maps.gsi.go.jp/#15/43.23583333333333/142.2836111111111,43°14′09″,142°17′01″,礼振岳,""
66,幾春別岳,"","",いくしゅんべつだけ,北海道,1068,夕張山地,https://maps.gsi.go.jp/#15/43.22694444444445/142.15944444444446,43°13′37″,142°09′34″,標高点,""
67,夕張岳,"","",ゆうばりだけ,北海道,1668,夕張山地,https://maps.gsi.go.jp/#15/43.099722222222226/142.2511111111111,43°05′59″,142°15′04″,夕張岳,""
68,ハッタオマナイ岳,"","",はったおまないだけ,北海道,1021,夕張山地,https://maps.gsi.go.jp/#15/42.846944444444446/142.31305555555556,42°50′49″,142°18′47″,辺富内,""
69,トマム山,"","",とまむさん,北海道,1239,日高山脈,https://maps.gsi.go.jp/#15/43.078611111111115/142.59611111111113,43°04′43″,142°35′46″,苫鵡山,""
70,芽室岳,"","",めむろだけ,北海道,1754,日高山脈,https://maps.gsi.go.jp/#15/42.86888888888889/142.78527777777776,42°52′08″,142°47′07″,芽室岳,""
71,剣山,"","",つるぎやま,北海道,1205,日高山脈,https://maps.gsi.go.jp/#15/42.84861111111111/142.885,42°50′55″,142°53′06″,江遠念,""
72,チロロ岳,"","",ちろろだけ,北海道,1880,日高山脈,https://maps.gsi.go.jp/#15/42.82555555555556/142.67527777777778,42°49′32″,142°40′31″,千呂露岳,""
73,ピパイロ岳,"","",ぴぱいろだけ,北海道,1916,日高山脈,https://maps.gsi.go.jp/#15/42.77305555555555/142.7275,42°46′23″,142°43′39″,戸蔦別岳,Ｈ26三角点標高改訂
74,戸蔦別岳,"","",とったべつだけ,北海道,1959,日高山脈,https://maps.gsi.go.jp/#15/42.73861111111111/142.695,42°44′19″,142°41′42″,標高点,""
75,幌尻岳,"","",ぽろしりだけ,北海道,2052,日高山脈,https://maps.gsi.go.jp/#15/42.71944444444445/142.68277777777777,42°43′10″,142°40′58″,幌尻,Ｈ26三角点標高改訂
76,エサオマントッタベツ岳,"","",えさおまんとったべつだけ,北海道,1902,日高山脈,https://maps.gsi.go.jp/#15/42.689166666666665/142.7577777777778,42°41′21″,142°45′28″,標高点,""
77,札内岳,"","",さつないだけ,北海道,1895,日高山脈,https://maps.gsi.go.jp/#15/42.693888888888885/142.79666666666665,42°41′38″,142°47′48″,札内岳,Ｈ26三角点標高改訂
78,十勝幌尻岳,"","",とかちぽろしりだけ,北海道,1846,日高山脈,https://maps.gsi.go.jp/#15/42.69555555555555/142.85944444444445,42°41′44″,142°51′34″,幌後岳,十勝ポロシリ岳
79,イドンナップ岳,"","",いどんなっぷだけ,北海道,1752,日高山脈,https://maps.gsi.go.jp/#15/42.63027777777778/142.6486111111111,42°37′49″,142°38′55″,標高点,""
80,カムイエクウチカウシ山,"","",かむいえくうちかうしやま,北海道,1979,日高山脈,https://maps.gsi.go.jp/#15/42.625/142.76638888888888,42°37′30″,142°45′59″,札内岳,Ｈ26三角点標高改訂
81,１８３９峰,"","",いっぱさんきゅうほう,北海道,1842,日高山脈,https://maps.gsi.go.jp/#15/42.53944444444444/142.80805555555557,42°32′22″,142°48′29″,標高点,""
82,ペテガリ岳,"","",ぺてがりだけ,北海道,1736,日高山脈,https://maps.gsi.go.jp/#15/42.49944444444444/142.8711111111111,42°29′58″,142°52′16″,辺天狩岳,""
83,中ノ岳,"","",なかのだけ,北海道,1519,日高山脈,https://maps.gsi.go.jp/#15/42.46805555555556/142.88444444444443,42°28′05″,142°53′04″,標高点,""
84,神威岳,"","",かむいだけ,北海道,1600,日高山脈,https://maps.gsi.go.jp/#15/42.42833333333333/142.90694444444446,42°25′42″,142°54′25″,神居奴振,""
85,ピリカヌプリ,"","",ぴりかぬぷり,北海道,1631,日高山脈,https://maps.gsi.go.jp/#15/42.40222222222222/142.96666666666667,42°24′08″,142°58′00″,奴振,""
86,楽古岳,"","",らっこだけ,北海道,1471,日高山脈,https://maps.gsi.go.jp/#15/42.2725/143.11111111111111,42°16′21″,143°06′40″,面射岳,Ｈ20三角点標高改訂
87,豊似岳,"","",とよにだけ,北海道,1105,日高山脈,https://maps.gsi.go.jp/#15/42.07694444444445/143.23305555555555,42°04′37″,143°13′59″,豊似山Ⅰ,""
88,アポイ岳,"","",あぽいだけ,北海道,810,日高山脈,https://maps.gsi.go.jp/#15/42.10777777777778/143.02555555555557,42°06′28″,143°01′32″,冬島,Ｈ20三角点標高改訂
89,藻岩山,"","",もいわやま,北海道,531,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/43.0225/141.32222222222222,43°01′21″,141°19′20″,藻岩山,""
90,手稲山,"","",ていねやま,北海道,1023,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/43.07666666666667/141.1925,43°04′36″,141°11′33″,手稲山,Ｈ20三角点標高改訂
91,余市岳,"","",よいちだけ,北海道,1488,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/43.032777777777774/141.01972222222224,43°01′58″,141°01′11″,余市岳,""
92,本倶登山,"","",ぽんくとさん,北海道,1009,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.95527777777778/140.9125,42°57′19″,140°54′45″,本倶登山,""
93,無意根山,"","",むいねやま,北海道,1464,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.93083333333333/141.04055555555556,42°55′51″,141°02′26″,標高点,""
94,札幌岳,"","",さっぽろだけ,北海道,1293,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.900277777777774/141.20055555555555,42°54′01″,141°12′02″,札幌岳,""
95,空沼岳,"","",そらぬまだけ,北海道,1251,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.865/141.2536111111111,42°51′54″,141°15′13″,標高点,""
96,恵庭岳,"","",えにわだけ,北海道,1320,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.79333333333333/141.28527777777776,42°47′36″,141°17′07″,恵庭岳,""
97,風不死岳,"","",ふっぷしだけ,北海道,1102,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.716944444444444/141.35888888888888,42°43′01″,141°21′32″,風不止,Ｈ20三角点標高改訂
98,樽前山,"","",たるまえさん,北海道,1041,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.690555555555555/141.37666666666667,42°41′26″,141°22′36″,標高点,""
99,ホロホロ山,"","",ほろほろやま,北海道,1322,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.63361111111111/141.14249999999998,42°38′01″,141°08′33″,徳心別山,""
100,余別岳,"","",よべつだけ,北海道,1298,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/43.26/140.45916666666665,43°15′36″,140°27′33″,余別岳,""
101,天狗岳,"","",てんぐだけ,北海道,872,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/43.18472222222222/140.66083333333333,43°11′05″,140°39′39″,天狗岳,""
102,雷電山,"","",らいでんやま,北海道,1211,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.90361111111111/140.46972222222223,42°54′13″,140°28′11″,雷電岳,Ｈ20三角点標高改訂
103,目国内岳,"","",めくんないだけ,北海道,1220,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.89972222222222/140.51527777777778,42°53′59″,140°30′55″,標高点,""
104,ニセコアンヌプリ,"","",にせこあんぬぷり,北海道,1308,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.875/140.6588888888889,42°52′30″,140°39′32″,似古安岳,""
105,羊蹄山,蝦夷富士,"",ようていざん（えぞふじ）,北海道,1898,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.82666666666667/140.8113888888889,42°49′36″,140°48′41″,標高点,後方羊蹄山（しりべしやま）　マッカリヌプリ
106,尻別岳,"","",しりべつだけ,北海道,1107,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.7725/140.9102777777778,42°46′21″,140°54′37″,後別岳,""
107,貫気別山,"","",ぬっきべつやま,北海道,994,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.71/140.92277777777778,42°42′36″,140°55′22″,風防留山,Ｈ20三角点標高改訂
108,昆布岳,"","",こんぶだけ,北海道,1045,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.71027777777778/140.65555555555557,42°42′37″,140°39′20″,昆布岳,""
109,昭和新山,"","",しょうわしんざん,北海道,398,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.5425/140.86444444444444,42°32′33″,140°51′52″,標高点,""
110,有珠山,"",大有珠,うすざん<おおうす>,北海道,733,支笏・洞爺・積丹,https://maps.gsi.go.jp/#15/42.54388888888889/140.83916666666667,42°32′38″,140°50′21″,標高点,""
111,母衣月山,"","",ほろづきやま,北海道,504,渡島半島,https://maps.gsi.go.jp/#15/42.769999999999996/140.21499999999997,42°46′12″,140°12′54″,幌月山,Ｈ20三角点標高改訂
112,大平山,"","",おおびらやま,北海道,1191,渡島半島,https://maps.gsi.go.jp/#15/42.63583333333333/140.13555555555556,42°38′09″,140°08′08″,大平山,""
113,狩場山,"","",かりばやま,北海道,1520,渡島半島,https://maps.gsi.go.jp/#15/42.61333333333334/139.94055555555556,42°36′48″,139°56′26″,狩場岳,""
114,毛無山,"","",けなしやま,北海道,816,渡島半島,https://maps.gsi.go.jp/#15/42.29527777777778/139.81055555555557,42°17′43″,139°48′38″,標高点,""
115,遊楽部岳,見市岳,"",ゆうらっぷだけ（けんいちだけ）,北海道,1277,渡島半島,https://maps.gsi.go.jp/#15/42.219166666666666/140.01055555555556,42°13′09″,140°00′38″,標高点,""
116,乙部岳,"","",おとべだけ,北海道,1017,渡島半島,https://maps.gsi.go.jp/#15/42.03944444444444/140.27472222222224,42°02′22″,140°16′29″,乙部岳,""
117,駒ヶ岳,"",剣ヶ峯,こまがたけ<けんがみね>,北海道,1131,渡島半島,https://maps.gsi.go.jp/#15/42.06333333333333/140.6772222222222,42°03′48″,140°40′38″,標高点,""
118,横津岳,"","",よこつだけ,北海道,1167,渡島半島,https://maps.gsi.go.jp/#15/41.937777777777775/140.7713888888889,41°56′16″,140°46′17″,標高点,""
119,恵山,"","",えさん,北海道,618,渡島半島,https://maps.gsi.go.jp/#15/41.80472222222222/141.16611111111112,41°48′17″,141°09′58″,恵山,""
120,函館山,"","",はこだてやま,北海道,334,渡島半島,https://maps.gsi.go.jp/#15/41.75888888888889/140.70416666666665,41°45′32″,140°42′15″,標高点,""
121,八幡岳,"","",はちまんだけ,北海道,665,渡島半島,https://maps.gsi.go.jp/#15/41.85194444444445/140.23,41°51′07″,140°13′48″,八幡岳,Ｈ20三角点標高改訂
122,桂岳,"","",かつらだけ,北海道,734,渡島半島,https://maps.gsi.go.jp/#15/41.78916666666667/140.46444444444444,41°47′21″,140°27′52″,桂岳,""
123,七ッ岳,"","",ななつだけ,北海道,957,渡島半島,https://maps.gsi.go.jp/#15/41.62416666666667/140.21416666666664,41°37′27″,140°12′51″,七ツ岳,""
124,大千軒岳,"","",だいせんげんだけ,北海道,1072,渡島半島,https://maps.gsi.go.jp/#15/41.57944444444445/140.16083333333333,41°34′46″,140°09′39″,千軒岳,""
125,岩部岳,"","",いわべだけ,北海道,794,渡島半島,https://maps.gsi.go.jp/#15/41.52722222222222/140.31083333333333,41°31′38″,140°18′39″,岩部岳,""
126,神威山,"","",かむいやま,北海道,584,奥尻島,https://maps.gsi.go.jp/#15/42.16027777777778/139.4427777777778,42°09′37″,139°26′34″,標高点,""
127,江良岳,"","",えらだけ,北海道,732,渡島大島,https://maps.gsi.go.jp/#15/41.51/139.36722222222224,41°30′36″,139°22′02″,大島,""
128,燧岳,"","",ひうちだけ,青森県,781,下北半島,https://maps.gsi.go.jp/#15/41.439166666666665/141.05305555555557,41°26′21″,141°03′11″,燧岳,""
129,釜臥山,"","",かまふせやま,青森県,878,下北半島（恐山山地）,https://maps.gsi.go.jp/#15/41.27861111111111/141.12,41°16′43″,141°07′12″,釜臥山,Ｈ22三角点標高改訂
130,桑畑山,"","",くわはたやま,青森県,400,下北半島,https://maps.gsi.go.jp/#15/41.3875/141.44083333333333,41°23′15″,141°26′27″,尻屋山,""
131,吹越烏帽子,"","",ふっこしえぼし,青森県,508,下北半島,https://maps.gsi.go.jp/#15/41.0375/141.31722222222223,41°02′15″,141°19′02″,吹越山,""
132,丸屋形岳,"","",まるやがただけ,青森県,718,津軽半島,https://maps.gsi.go.jp/#15/41.15277777777778/140.58666666666667,41°09′10″,140°35′12″,丸山,""
133,四ッ滝山,"","",よつだきやま,青森県,670,津軽半島,https://maps.gsi.go.jp/#15/41.12166666666667/140.40055555555557,41°07′18″,140°24′02″,桂川岳,""
134,梵珠山,"","",ぼんじゅさん,青森県,468,津軽半島,https://maps.gsi.go.jp/#15/40.79972222222222/140.57555555555555,40°47′59″,140°34′32″,梵珠山,""
135,階上岳,種市岳,"",はしかみだけ（たねいちだけ）,"青森県, 岩手県",739,北上高地,https://maps.gsi.go.jp/#15/40.40083333333333/141.58444444444444,40°24′03″,141°35′04″,階上岳,Ｈ22三角点標高改訂
136,名久井岳,"","",なくいだけ,青森県,615,北上高地,https://maps.gsi.go.jp/#15/40.38805555555555/141.30833333333334,40°23′17″,141°18′30″,名久井岳,""
137,折爪岳,"","",おりつめだけ,岩手県,852,北上高地,https://maps.gsi.go.jp/#15/40.26888888888889/141.37444444444446,40°16′08″,141°22′28″,折詰岳,""
138,安家森,"","",あっかもり,岩手県,1239,北上高地,https://maps.gsi.go.jp/#15/40.03805555555555/141.54111111111112,40°02′17″,141°32′28″,遠別岳,""
139,遠島山,"","",とおしまやま,岩手県,1262,北上高地,https://maps.gsi.go.jp/#15/40.02055555555555/141.64416666666665,40°01′14″,141°38′39″,遠島山,Ｈ22三角点標高改訂
140,三巣子岳,"","",みすごだけ,岩手県,1181,北上高地,https://maps.gsi.go.jp/#15/39.9/141.48555555555555,39°54′00″,141°29′08″,明神頭,Ｈ26三角点標高改訂
141,姫神山,"","",ひめかみさん,岩手県,1124,北上高地,https://maps.gsi.go.jp/#15/39.844166666666666/141.24694444444444,39°50′39″,141°14′49″,姫神岳,""
142,堺ノ神岳,"","",さかいのかみだけ,岩手県,1319,北上高地,https://maps.gsi.go.jp/#15/39.750277777777775/141.6263888888889,39°45′01″,141°37′35″,明神,""
143,害鷹森,"","",がいたかもり,岩手県,1304,北上高地,https://maps.gsi.go.jp/#15/39.711666666666666/141.60444444444443,39°42′42″,141°36′16″,野津辺,""
144,青松葉山,"","",あおまつばやま,岩手県,1365,北上高地,https://maps.gsi.go.jp/#15/39.6975/141.4836111111111,39°41′51″,141°29′01″,青松葉山,Ｈ23三角点標高改訂
145,峠ノ神山,"","",とうげのかみやま,岩手県,1229,北上高地,https://maps.gsi.go.jp/#15/39.72694444444445/141.78111111111113,39°43′37″,141°46′52″,亀ケ森山,Ｈ22三角点標高改訂
146,早池峰山,"","",はやちねさん,岩手県,1917,北上高地,https://maps.gsi.go.jp/#15/39.558611111111105/141.4886111111111,39°33′31″,141°29′19″,標高点,""
147,薬師岳,"","",やくしだけ,岩手県,1645,北上高地,https://maps.gsi.go.jp/#15/39.53/141.4958333333333,39°31′48″,141°29′45″,薬師岳,""
148,十二神山,"","",じゅうにしんざん,岩手県,731,北上高地,https://maps.gsi.go.jp/#15/39.53861111111111/141.975,39°32′19″,141°58′30″,十二神山,""
149,六角牛山,"","",ろっこうしさん,岩手県,1293,北上高地,https://maps.gsi.go.jp/#15/39.318333333333335/141.65027777777777,39°19′06″,141°39′01″,六角牛山,Ｈ23三角点標高改訂
150,五葉山,"","",ごようざん,岩手県,1351,北上高地,https://maps.gsi.go.jp/#15/39.20527777777778/141.73222222222222,39°12′19″,141°43′56″,標高点,""
151,物見山,"","",ものみやま,岩手県,870,北上高地,https://maps.gsi.go.jp/#15/39.20111111111111/141.40166666666667,39°12′04″,141°24′06″,種山,Ｈ22三角点標高改訂
